Settlement Date,Spot Price ($/MWh),Scheduled Demand (MW),Scheduled Generation (MW),Semi Scheduled Generation (MW),Net Import (MW),Type
21/08/2025 15:15,120.03,10031.65,6029.96708,2565.02292,-1381.35,ACTUAL
21/08/2025 15:20,76.79978,9997.09,6036.14513,2421.84487,-1478.1,ACTUAL
21/08/2025 15:25,115.68395,10107.33,6205.30785,2427.10215,-1417.28,ACTUAL
21/08/2025 15:30,118.9501,10233.1,6327.85677,2289.10323,-1546.98,ACTUAL
21/08/2025 15:35,112.10171,10396.51,6415.36963,2377.39037,-1536.62,ACTUAL
21/08/2025 15:40,100.00955,10304.06,6559.95804,2334.95196,-1359.06,ACTUAL
21/08/2025 15:45,93.36687,10234.38,6611.13097,2315.26903,-1266.02,ACTUAL
21/08/2025 15:50,120.01,10420.7,6660.70933,2242.49067,-1460.66,ACTUAL
21/08/2025 15:55,120.03,10395.55,6991.10263,1995.43737,-1360.18,ACTUAL
21/08/2025 16:00,139.84478,10452.27,7211.00417,1855.60583,-1339.19,ACTUAL
21/08/2025 16:05,120.89,10527.55,7186.76431,1813.85569,-1466.5,ACTUAL
21/08/2025 16:10,120.89,10601.19,7289.60303,1799.28697,-1453,ACTUAL
21/08/2025 16:15,158.98,10595.73,7440.74233,1769.84767,-1325.84,ACTUAL
21/08/2025 16:20,158.98,10544.71,7428.67945,1776.40055,-1283.01,ACTUAL
21/08/2025 16:25,202.02722,10554.58,7484.95555,1747.26445,-1266.95,ACTUAL
21/08/2025 16:30,277.16175,10545.46,7579.80607,1626.52393,-1283.7,ACTUAL
21/08/2025 16:35,190.06799,10558.93,7525.09932,1590.63068,-1396.13,ACTUAL
21/08/2025 16:40,219.93669,10726.59,7548.12194,1512.09806,-1602.9,ACTUAL
21/08/2025 16:45,229.96934,10769.91,7728.37116,1391.59884,-1587.78,ACTUAL
21/08/2025 16:50,219.60632,10739.47,7936.2679,1296.2221,-1455.53,ACTUAL
21/08/2025 16:55,225.77407,10753.53,7984.99477,1224.29523,-1492.16,ACTUAL
21/08/2025 17:00,250.96,10858.09,8102.8497,1226.2403,-1474.51,ACTUAL
21/08/2025 17:05,250.96,10856.6,8050.31653,1164.62347,-1589.48,ACTUAL
21/08/2025 17:10,269.12396,10942.04,8178.79124,1136.13876,-1575.08,ACTUAL
21/08/2025 17:15,299.18213,10952.42,8244.64232,1089.98768,-1564.13,ACTUAL
21/08/2025 17:20,277.30594,11020.39,8535.63728,1115.92272,-1337.66,ACTUAL
